Connection ID,Meter Serial,Consumer ID,Current reading
019cdc6d-1123-7252-8069-ecfdcdacf423,10,9c13c806-2c8f-4ddb-ac42-5f711e41c07d,670
019cdc6d-1b48-721e-97c9-f9f44ff66ed7,14,c510ddfa-9ea2-49ab-976b-b3e6fa55566c,3961
019cdc6d-2645-73dc-97f3-a3c852626e64,19,46c9c17b-891a-4b4d-95ac-fd41dbd41bdf,900
019cdc6d-2650-7372-bd72-ddd68f0c9c24,20,7dfc4e77-d872-47ef-8f02-62514bee6908,1335
019cdc6d-2076-7091-960e-17becb7bb785,101,d491443d-be13-4d9a-abbf-48a2aa94fbbb,630
019cdc6c-ea45-70f2-bc2e-5e5effc8db4d,189,f3c34336-7cfa-433b-8c2f-353a7c70c00f,833
019cdc6c-e686-71c6-bf14-b879341a4843,300,d728bdf0-2b38-4469-a7f1-721500666dda,5345
019cdc6c-e9fc-7155-8d03-5c0e2259928a,321,b6b7ffed-35e6-4cf4-9886-3de30e64ffd9,7703
019cdc6c-f5f6-736a-8444-ebf23f18e0cf,456,29c08361-b1a7-43c8-a58f-6ff7397bf1f7,6995
019cdc6d-45ba-7185-9f62-0f8da37bfe5a,719,5eef9f07-351c-4d6b-bec1-16b9bb747984,3805
019cdc6d-1951-7235-966d-cc152d22da1b,943,d91c8a3b-3c28-4fb4-bd99-8fe4be119ab2,3305
019cdc6d-1969-736c-b836-d6b20b265252,971,abc2a011-c789-4a4d-bc27-7e3f0e570574,1425
019cdc6c-e9da-7004-a99a-052cf4a3bf83,1100,426c6bee-40f8-45be-927a-7c434a38a5c3,2481
019cdc6c-d595-70a0-bc5a-1c78b5c1c5b3,1230,03601da6-840c-4b55-8821-b5c722c426ea,600
019cdc6d-1f69-7035-8764-8446c8e64d26,1575,62921efa-550a-4b4f-8cd1-5850d9c624f6,3849
019cdc6c-ddbf-70ab-af86-0a53201ddee5,1765,4acaf2cb-daf6-4b91-9170-fc4895941c8c,4983
019cdc6d-195d-708e-908e-185c38b5dbb9,1882,878eecfd-d159-4fa3-bc0f-bcc1bd31ae5d,10
019cdc6d-05f1-7345-ace4-b0ddb656d3e4,2666,37451dce-242d-454e-b275-b1b5829b21ae,2063
019cdc6d-0f93-7076-9e06-d6f637712f89,3140,55bbfe92-bd18-405e-aa0e-e904ad785be7,2130
019cdc6d-0ed7-72d2-a175-765d9fafa9b0,3300,6d7a69c6-3df1-4ef5-9add-fbaee00fa706,3545
019cdc6c-cb32-7380-9be4-3ade49f21e50,3340,599b7a15-2ba0-4089-89cd-8c97d368df26,
019cdc6d-2829-72d2-92b9-f489088fa35d,3345,094073e2-3b44-4db9-94cf-7628b8038645,1852
